2018-11-04 00:29:08 /laf 1
2018-11-04 00:29:11 /laf 3
2018-11-04 00:29:37 /laf ∑÷
2018-11-04 01:51:05 Connected with result code 0
2018-11-04 01:51:08 /smartcar/abc/rccontrol stop
2018-11-04 01:51:10 /smartcar/abc/rccontrol forward
2018-11-04 01:51:10 /smartcar/abc/rccontrol stop
2018-11-04 01:51:10 /smartcar/abc/rccontrol left
2018-11-04 01:51:11 /smartcar/abc/rccontrol stop
2018-11-04 01:51:12 /smartcar/abc/rccontrol right
2018-11-04 01:51:12 /smartcar/abc/rccontrol stop
2018-11-04 01:51:13 /smartcar/abc/rccontrol right
2018-11-04 01:51:13 /smartcar/abc/rccontrol stop
2018-11-04 01:51:13 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
2018-11-04 01:51:14 /smartcar/abc/rccontrol left
2018-11-04 01:51:14 /smartcar/abc/rccontrol stop
